2024-02-23 13:39:05,154 INFO    StreamThr :145028 [internal.py:wandb_internal():86] W&B internal server running at pid: 145028, started at: 2024-02-23 13:39:05.154110
2024-02-23 13:39:05,155 DEBUG   HandlerThread:145028 [handler.py:handle_request():146] handle_request: status
2024-02-23 13:39:05,160 INFO    WriterThread:145028 [datastore.py:open_for_write():87] open: /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/run-20240223_133905-muxdhuqa/run-muxdhuqa.wandb
2024-02-23 13:39:05,161 DEBUG   SenderThread:145028 [sender.py:send():382] send: header
2024-02-23 13:39:05,167 DEBUG   SenderThread:145028 [sender.py:send():382] send: run
2024-02-23 13:39:05,704 INFO    SenderThread:145028 [dir_watcher.py:__init__():211] watching files in: /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/run-20240223_133905-muxdhuqa/files
2024-02-23 13:39:05,704 INFO    SenderThread:145028 [sender.py:_start_run_threads():1136] run started: muxdhuqa with start time 1708691945.154219
2024-02-23 13:39:05,713 DEBUG   HandlerThread:145028 [handler.py:handle_request():146] handle_request: check_version
2024-02-23 13:39:05,714 DEBUG   SenderThread:145028 [sender.py:send_request():409] send_request: check_version
2024-02-23 13:39:05,928 DEBUG   HandlerThread:145028 [handler.py:handle_request():146] handle_request: run_start
2024-02-23 13:39:05,935 DEBUG   HandlerThread:145028 [system_info.py:__init__():27] System info init
2024-02-23 13:39:05,935 DEBUG   HandlerThread:145028 [system_info.py:__init__():42] System info init done
2024-02-23 13:39:05,936 INFO    HandlerThread:145028 [system_monitor.py:start():194] Starting system monitor
2024-02-23 13:39:05,936 INFO    SystemMonitor:145028 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-23 13:39:05,936 INFO    HandlerThread:145028 [system_monitor.py:probe():214] Collecting system info
2024-02-23 13:39:05,936 INFO    SystemMonitor:145028 [interfaces.py:start():190] Started cpu monitoring
2024-02-23 13:39:05,937 INFO    SystemMonitor:145028 [interfaces.py:start():190] Started disk monitoring
2024-02-23 13:39:05,938 INFO    SystemMonitor:145028 [interfaces.py:start():190] Started gpu monitoring
2024-02-23 13:39:05,938 INFO    SystemMonitor:145028 [interfaces.py:start():190] Started memory monitoring
2024-02-23 13:39:05,938 INFO    SystemMonitor:145028 [interfaces.py:start():190] Started network monitoring
2024-02-23 13:39:05,962 DEBUG   HandlerThread:145028 [system_info.py:probe():151] Probing system
2024-02-23 13:39:05,965 DEBUG   HandlerThread:145028 [system_info.py:_probe_git():136] Probing git
2024-02-23 13:39:05,976 DEBUG   HandlerThread:145028 [system_info.py:_probe_git():144] Probing git done
2024-02-23 13:39:05,976 DEBUG   HandlerThread:145028 [system_info.py:probe():199] Probing system done
